retriever,display_name,reported_avg_recall,reported_avg_precision,reported_avg_f1,avg_recall,avg_precision,avg_f1,success_count,failure_count,question_count
faiss_bm25_ts_hyde,bm25_ts_hyde,0.9250748562582927,0.1271688129344375,0.2156494337183089,0.9250748562582929,0.1271688129344375,0.21564943371830897,51,0,75
faiss_bm25_ts,bm25_ts,0.9113292075714674,0.12044222749141935,0.205176224602458,0.9113292075714677,0.12044222749141935,0.20517622460245805,45,0,75
faiss_ts,ts,0.8572927976736026,0.11975724982905367,0.20366419021198878,0.8572927976736026,0.1197572498290537,0.2036641902119888,34,0,75
faiss_hyde(qwen7b-sft),faiss_hyde(qwen7b-sft),0.8566759380110769,0.10717413136386829,0.18310763225780943,0.8566759380110773,0.10717413136386829,0.18310763225780946,30,0,75
faiss_bm25,bm25,0.8451762032543765,0.11471300755093608,0.19489905422325815,0.8451762032543766,0.11471300755093607,0.1948990542232581,29,0,75
faiss_hyde(qwen72b),faiss_hyde(qwen72b),0.8323459716811105,0.10783722869354927,0.1843707146127209,0.832345971681111,0.1078372286935493,0.18437071461272092,23,0,75
faiss_hyde(qwen7b),faiss_hyde(qwen7b),0.822847181799968,0.10757894217273356,0.18297793274973703,0.8228471817999682,0.10757894217273357,0.18297793274973703,24,0,75
faiss,dense,0.8194926762550598,0.09409523809523805,0.1646107138723658,0.8194926762550602,0.09409523809523809,0.1646107138723658,25,0,75
faiss_expand,faiss_expand,0.8102700630982361,0.099963260619977,0.17333980771192706,0.8102700630982365,0.09996326061997704,0.17333980771192706,24,0,75
